rel_month,Coef,SE,CI_lo,CI_hi,t,p,N,Specification
16,0.0009311151462021845,0.0028849710561196893,-0.004723428123792406,0.006585658416196775,0.32274678951356356,0.7469008153200511,223473,cont_fm
17,-0.0013540547901751507,0.0028804904565684557,-0.006999816085049323,0.004291706504699022,-0.4700778602086548,0.6383203584298842,223473,cont_fm
18,-0.0021087040520146203,0.0030678175765494965,-0.008121626502051633,0.003904218398022393,-0.6873629214897349,0.49188666173822426,223473,cont_fm
19,-0.0007183672308066685,0.003088063259103833,-0.00677097121865018,0.005334236757036844,-0.2326271097876218,0.8160607116534835,223473,cont_fm
20,-0.01813639664418697,0.0032090501162535486,-0.024426134872043925,-0.011846658416330015,-5.651640201045089,1.679362982009991e-08,223473,cont_fm
21,-0.022531319434536064,0.0033552920252384487,-0.029107691804003424,-0.015954947065068704,-6.715158998100871,2.092637174655465e-11,223473,cont_fm
22,0.0008516437148192161,0.0035449892126729536,-0.006096535142019773,0.007799822571658205,0.24023873239858723,0.810155260890745,223473,cont_fm
23,0.0010483915790481053,0.0036334941992287252,-0.006073257051440196,0.008170040209536407,0.2885353661141513,0.7729491948403626,223473,cont_fm
-24,-0.0013778105793245893,0.0032215479138487644,-0.007692044490468167,0.004936423331818989,-0.4276858877068592,0.668898689480065,223313,cont_fim
-23,0.004400386575248729,0.00308522771520467,-0.001646659746552424,0.010447432897049882,1.4262761071290366,0.1538526001952749,223313,cont_fim
-22,0.009161447646112975,0.0031198445936493017,0.0030465522425603443,0.015276343049665606,2.93650769168498,0.003334810902249963,223313,cont_fim
-21,0.010389436887963567,0.0027959157467341866,0.0049094420243645616,0.015869431751562572,3.7159334647687836,0.00020471987127002045,223313,cont_fim
-20,0.011000894671601612,0.002741090826042812,0.0056283566525577,0.016373432690645524,4.013327310092494,6.076564038592913e-05,223313,cont_fim
-19,0.01163081447318395,0.0027389266785620963,0.0062625181832022415,0.01699911076316566,4.246486247412066,2.2118587762909314e-05,223313,cont_fim
-18,0.012352723403787381,0.002805552979650201,0.006853839563672987,0.017851607243901776,4.402954958750247,1.0906781516162312e-05,223313,cont_fim
-17,0.010014571105333563,0.0028185890581201517,0.004490136551418065,0.01553900565924906,3.5530440581546663,0.0003843999786077301,223313,cont_fim
-16,0.009842699034648909,0.0027596767259537415,0.004433732651779576,0.015251665417518242,3.5666130536529717,0.00036509210878721277,223313,cont_fim
-15,0.02698365095217477,0.0031143665878152903,0.020879492440056803,0.03308780946429274,8.664250078249022,0.0,223313,cont_fim
-14,0.032043850938603076,0.0034902081248963665,0.025203043013806197,0.03888465886339995,9.18107167020435,0.0,223313,cont_fim
-13,0.027092933885352822,0.0035275970477844924,0.020178843671695215,0.03400702409901043,7.680280235626272,1.9095836023552692e-14,223313,cont_fim
-12,0.013797792853018222,0.0034553340078403026,0.007025338197651229,0.020570247508385216,3.993186424730701,6.6149303473928e-05,223313,cont_fim
-11,0.015814825393987098,0.0036940290199968884,0.008574528514793196,0.023055122273181,4.281186018944815,1.8946539179109934e-05,223313,cont_fim
-10,0.018587780006235753,0.0036578929871063726,0.011418309751507264,0.025757250260964242,5.081553799347169,3.8832462512239374e-07,223313,cont_fim
-9,0.0038352927543433817,0.0038997321172453106,-0.0038081821954574274,0.011478767704144192,0.9834759514334417,0.32542198132340894,223313,cont_fim
-8,-0.00044921719540991814,0.003523780638211187,-0.007355827246303844,0.006457392855484008,-0.12748160045455012,0.898564485450225,223313,cont_fim
-7,0.0038944260092018,0.0036003909281580398,-0.0031623402099879576,0.010951192228391558,1.08166754302822,0.2794537059010953,223313,cont_fim
-6,0.0024703190210311515,0.003477430781482218,-0.004345445310673995,0.009286083352736299,0.710386252455672,0.4774985781186687,223313,cont_fim
-5,-0.0027697677501391286,0.0030485686530002704,-0.008744962310019658,0.003205426809741401,-0.9085469495375287,0.3636341675825352,223313,cont_fim
-4,-0.000997624150389922,0.0028637171824800606,-0.00661050982805084,0.004615261527270997,-0.34836685567041614,0.7275797117495606,223313,cont_fim
-3,0.007630341692686047,0.0022166534883437364,0.0032857008555323237,0.011974982529839771,3.4422798749602355,0.0005816760007759658,223313,cont_fim
-2,0.006730063683500018,0.001422755853519503,0.003941462210601793,0.009518665156398244,4.730301173494882,2.30509050647143e-06,223313,cont_fim
-1,0.0,0.0,0.0,0.0,,,223313,cont_fim
0,-0.0009763886243131239,0.0017897599057831951,-0.004484318039648186,0.0025315407910219386,-0.5455416791705692,0.5854059469429447,223313,cont_fim
1,0.00041959960153574693,0.0024934270000742803,-0.004467517318609842,0.0053067165216813365,0.16828228840196519,0.8663681778469177,223313,cont_fim
2,0.0023200771778200745,0.002575754994672656,-0.002728402611738331,0.0073685569673784795,0.9007367481063258,0.36777273535645616,223313,cont_fim
3,-0.0009431191044554558,0.002682013510109148,-0.006199865584269386,0.004313627375358475,-0.3516459185983274,0.7251189997934571,223313,cont_fim
