outcome,exposure,event,term,coef,se_city_cluster,t,p,sig,ci_low,ci_high,n_input,clusters_city
AuditFee,failure_cost_pre,-3,es_lead3_failure_cost_pre,-0.04494313507198466,0.03836627807626222,-1.171422856880966,0.24252224290747026,,-0.12049825201334123,0.030611981869371904,26490,406
AuditFee,failure_cost_pre,-2,es_lead2_failure_cost_pre,-0.02852493567187302,0.04295836013347609,-0.6640136072057471,0.5072815315730845,,-0.11312328834611568,0.05607341700236965,26490,406
AuditFee,failure_cost_pre,0,es_event0_failure_cost_pre,-0.025286192578343344,0.04061926215816627,-0.6225172796069537,0.5341580533056001,,-0.10527813488589553,0.054705749729208844,26490,406
AuditFee,failure_cost_pre,+1,es_lag1_failure_cost_pre,-0.00575968151399862,0.027546143087313738,-0.20909212210733114,0.8345432592826885,,-0.060006592254423854,0.04848722922642662,26490,406
AuditFee,failure_cost_pre,>=+2,es_lag2p_failure_cost_pre,0.025980854033893375,0.03561615400765777,0.7294682639879443,0.4663847840029005,,-0.04415841451076377,0.09612012257855052,26490,406
CustConc,private_pre,<=-4,es_lead4m_private_pre,-0.6303688042335671,1.4568612600084292,-0.43268966066811326,0.6656088472717696,,-3.499489231550817,2.2387516230836826,25601,406
CustConc,private_pre,-3,es_lead3_private_pre,-0.40311512101489116,0.8128596952239099,-0.49592214177115684,0.6203798696301295,,-2.0039486527516743,1.1977184107218921,25601,406
CustConc,private_pre,-2,es_lead2_private_pre,0.1508621552467741,0.7362317609421596,0.20491122938477283,0.8378062402846693,,-1.2990614871367694,1.6007857976303177,25601,406
CustConc,private_pre,0,es_event0_private_pre,2.0335691951519306,0.4328438516312993,4.698158903003536,4.3119287855830635e-06,***,1.1811330911492388,2.8860052991546223,25601,406
CustConc,private_pre,+1,es_lag1_private_pre,1.792913385113649,1.254272097521473,1.4294453242295415,0.15410988653914348,,-0.677231024102154,4.263057794329452,25601,406
CustConc,private_pre,>=+2,es_lag2p_private_pre,1.2636407875011662,1.2929516282041207,0.9773302882616989,0.3293392395050865,,-1.2826785016754005,3.809960076677733,25601,406
CustConc,high_lev_pre,<=-4,es_lead4m_high_lev_pre,-0.8203041750790335,2.6062836574554256,-0.31474094261862323,0.7532177678411722,,-5.953079605558398,4.3124712554003315,25601,406
CustConc,high_lev_pre,-3,es_lead3_high_lev_pre,-0.2017171750400891,0.972100097931655,-0.20750658853885964,0.8357811751848461,,-2.116156336087362,1.712721986007184,25601,406
CustConc,high_lev_pre,-2,es_lead2_high_lev_pre,-0.06212992993768923,1.16616626629951,-0.05327707697705964,0.9575531876403933,,-2.3587600539817957,2.2345001941064173,25601,406
CustConc,high_lev_pre,0,es_event0_high_lev_pre,-0.59773380189763,0.9777068614987647,-0.611363001975194,0.5415082142499918,,-2.5232148379148227,1.3277472341195629,25601,406
CustConc,high_lev_pre,+1,es_lag1_high_lev_pre,-2.552512976351043,0.8071649088121463,-3.162319060806812,0.0017561807550434683,***,-4.142131282265221,-0.9628946704368646,25601,406
CustConc,high_lev_pre,>=+2,es_lag2p_high_lev_pre,-2.36775927496528,1.4614594149883204,-1.6201334437906387,0.10644933741475748,,-5.245935238827375,0.5104166888968158,25601,406
InvestIneff,natural_pre,<=-4,es_lead4m_natural_pre,-0.010933067577099314,0.009492980298090533,-1.1517002283569941,0.25057614239340653,,-0.02963209710456038,0.007765961950361753,22884,397
InvestIneff,natural_pre,-3,es_lead3_natural_pre,-0.018458018837313923,0.007048653051689575,-2.618659012148357,0.009382477246418164,***,-0.032342275140772536,-0.004573762533855309,22884,397
InvestIneff,natural_pre,-2,es_lead2_natural_pre,-0.009719437165336109,0.011078005017885074,-0.8773634918601677,0.38115582058568287,,-0.03154060780196554,0.012101733471293325,22884,397
InvestIneff,natural_pre,0,es_event0_natural_pre,0.005893975926873893,0.006675081429971388,0.882981876507109,0.3781187409337641,,-0.007254428561266514,0.0190423804150143,22884,397
InvestIneff,natural_pre,+1,es_lag1_natural_pre,0.003250916570540447,0.01177653259438848,0.2760504031627704,0.7827439770043338,,-0.01994619580078429,0.026448028941865185,22884,397
InvestIneff,natural_pre,>=+2,es_lag2p_natural_pre,-0.006441564682418288,0.010466703132235114,-0.6154339720001901,0.5388441141670075,,-0.027058608516818874,0.014175479151982296,22884,397
Lev,natural_highlev_pre,<=-4,es_lead4m_natural_highlev_pre,-0.001513200316658351,0.011459524511946347,-0.13204739124043646,0.8950509367190351,,-0.02408056306348021,0.021054162430163507,26541,406
Lev,natural_highlev_pre,-3,es_lead3_natural_highlev_pre,0.01458352912917946,0.01190479129723435,1.2250134223325209,0.2217005139247743,,-0.008860702204312836,0.038027760462671756,26541,406
