exposure,y_family,y_name,event_time,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
gap,first_stage,asset_trade_d,m3,-.0728164112321426,.013031087,-5.5879002,4.3977266e-08,23526,1,1,1
gap,first_stage,asset_trade_d,p0,.0097850374289285,.017118635,.57160145,.56793082,23526,0,0,0
gap,first_stage,asset_trade_d,p1,-.0004601849248374,.020389222,-.02257001,.98200512,23526,0,0,0
gap,first_stage,asset_trade_d,p2,.0247815162356209,.021933166,1.1298649,.25924769,23526,0,0,0
gap,first_stage,asset_trade_d,p3,.0352508077114099,.031215075,1.1292878,.25949067,23526,0,0,0
gap,first_stage,asset_trade_kw,m2,-.0103759542921,.0092255827,-1.1246936,.26143068,23526,0,0,0
gap,first_stage,asset_trade_kw,m3,-.0204935987307371,.013217395,-1.5505021,.12185565,23526,0,0,0
gap,first_stage,asset_trade_kw,p0,.0371484037306413,.0068056607,5.4584565,8.6982958e-08,23526,1,1,1
gap,first_stage,asset_trade_kw,p1,.0720340881643227,.016314745,4.4152751,.000013175842,23526,1,1,1
gap,first_stage,asset_trade_kw,p2,.0881789112143263,.036202226,2.4357316,.015321812,23526,1,1,0
gap,first_stage,asset_trade_kw,p3,.1331936198909056,.02742683,4.8563261,1.7522196e-06,23526,1,1,1
gap,first_stage,has_data_content,m2,.0572256404008908,.018723492,3.0563552,.0023992173,23524,1,1,1
gap,first_stage,has_data_content,m3,.121632415671503,.024518579,4.9608264,1.0618974e-06,23524,1,1,1
gap,first_stage,has_data_content,p0,-.0510628878346301,.028877744,-1.7682437,.077824607,23524,1,0,0
